1723492595976,22.8
1723492598392,24.4
1723492599354,25.7
1723492600308,26.4
1723492601234,27.1
1723492602206,27.7
1723492603425,28.5
1723492604861,29.7
1723492606285,30.4
1723492608051,31.5
1723492609190,32.1
1723492610437,32.6
1723492611762,33.5
1723492613029,33.9
1723492614203,34.4
1723492615471,35.0
1723492616828,35.6
1723492618232,36.0
1723492619348,36.6
1723492620732,37.3
1723492621844,38.0
1723492623047,38.4
1723492624346,38.7
1723492625528,39.2
1723492626859,39.6
1723492628208,39.9
1723492629095,40.4
1723492630347,40.7
1723492631289,40.8
1723492632241,40.8
1723492633175,40.7
1723492634106,40.5
1723492635046,40.3
1723492635995,40.2
1723492636940,40.1
1723492637917,39.9
1723492639211,39.7
1723492640155,39.4
1723492641086,39.5
1723492642036,39.8
1723492642973,40.0
1723492643957,40.3
1723492644891,40.5
1723492645799,40.5
1723492646920,40.5
1723492647886,40.3
1723492648831,40.2
1723492649751,40.1
1723492651085,40.0
1723492652041,39.8
1723492653346,39.6
1723492654300,39.4
1723492655238,39.5
1723492656138,39.7
1723492657085,39.8
1723492658064,40.0
1723492660526,40.6
1723492661771,40.9
1723492663289,41.0
1723492664430,40.9
1723492665796,40.8
1723492666907,40.7
1723492667938,40.6
1723492669121,40.5
1723492670404,40.3
1723492671770,40.2
1723492673078,40.0
1723492674256,39.8
1723492676131,39.7
1723492677361,39.4
1723492678724,39.7
1723492679832,39.9
1723492681412,40.1
1723492683158,40.7
1723492684228,40.9
1723492685718,41.0
1723492686957,41.0
1723492688186,40.9
1723492689303,40.8
1723492690867,40.7
1723492692099,40.5
1723492693393,40.5
1723492694697,40.2
1723492695769,40.2
1723492697345,40.1
1723492698218,39.9
1723492699397,39.9
1723492700341,39.6
1723492701274,39.7
1723492702241,39.9
1723492703174,40.1
1723492704128,40.2
1723492705072,40.3
1723492705990,40.4
1723492706934,40.5
1723492707920,40.5
1723492708830,40.4
1723492709794,40.4
1723492710787,40.3
1723492711761,40.2
1723492713248,40.2
1723492714203,40.1
1723492715137,40.0
1723492716077,39.9
1723492717054,39.8
1723492718026,39.6
1723492718973,39.6
1723492719937,39.8
1723492720880,40.1
1723492722163,40.2
1723492723102,40.4
1723492724035,40.5
1723492724984,40.5
1723492725910,40.5
1723492726878,40.5
1723492727848,40.4
1723492728773,40.3
1723492729861,40.3
1723492730813,40.2
1723492732323,40.1
1723492733260,39.9
1723492734636,39.7
1723492735813,39.6
1723492737067,39.8
1723492738212,39.9
1723492740163,40.5
1723492741303,40.8
1723492742691,40.9
1723492743813,40.8
1723492745016,40.8
1723492746191,40.7
1723492747879,40.7
1723492748969,40.6
1723492750202,40.4
1723492751419,40.4
1723492753001,40.3
1723492754195,40.2
1723492755447,40.1
1723492756702,40.0
1723492757901,40.0
1723492759241,39.8
1723492760958,39.7
1723492762190,39.6
1723492763433,39.5
1723492764793,39.3
1723492765793,39.3
1723492767188,39.2
1723492768322,39.0
1723492769820,38.8
1723492771508,38.8
1723492772890,38.6
1723492774151,38.6
1723492775409,38.5
1723492776702,38.2
1723492777929,38.0
1723492779076,38.1
1723492780307,38.1
1723492781721,37.9
1723492782813,37.8
1723492784093,37.8
1723492785256,37.5
1723492786511,37.5
1723492788925,37.4
1723492790152,37.3
1723492791373,37.1
1723492792772,37.1
1723492793914,37.0
1723492795427,37.0
1723492796855,36.7
1723492798181,36.7
1723492799362,36.6
1723492800737,36.5
1723492801944,36.5
1723492803074,36.4
1723492804378,36.4
1723492805518,36.3
1723492806789,36.2
1723492807991,36.1
1723492809197,36.1
1723492810480,36.1
1723492812102,36.0
1723492813164,35.9
1723492814477,35.8
1723492815706,35.7
1723492816839,35.6
1723492818135,35.5
1723492819315,35.3
1723492820713,35.1
1723492821853,35.1
1723492823065,35.1
1723492824350,35.1
1723492825517,35.0
1723492826907,35.0
1723492828326,35.0
1723492829545,34.8
1723492830843,34.7
1723492831949,34.7
1723492833276,34.7
1723492834379,34.6
1723492835802,34.5
1723492837466,34.4
1723492838867,34.3
1723492840309,34.2
1723492841510,34.1
1723492842870,34.0
1723492844156,34.0
1723492845418,33.9
1723492846489,33.8
1723492848276,33.8
1723492849442,33.8
1723492850828,33.4
1723492851859,33.5
1723492853107,33.5
1723492854814,33.5
1723492856143,33.4
1723492856980,33.3
1723492858009,33.3
1723492858921,33.2
1723492859850,33.0
1723492860795,33.0
1723492862143,33.0
1723492863087,33.0
1723492864045,32.9
1723492864972,32.8
1723492865921,32.7
1723492866863,32.8
1723492867838,32.8
1723492868794,32.7
1723492870129,32.7
1723492871166,32.6
1723492872798,32.5
1723492873986,32.5
1723492875249,32.4
1723492876481,32.4
1723492877830,32.3
1723492879193,32.3
1723492880481,32.2
1723492881769,32.2
1723492882849,32.2
1723492884391,32.2
1723492885778,32.0
1723492886870,32.0
1723492888101,32.0
1723492889330,32.0
1723492890776,31.9
1723492892432,31.9
1723492893684,31.8
1723492894883,31.8
1723492896073,31.8
1723492897306,31.8
1723492898722,31.7
1723492900422,31.6
1723492901808,31.6
1723492903170,31.6
1723492904368,31.4
1723492905768,31.4
1723492906770,31.3
1723492907799,31.2
1723492908953,31.2
1723492909896,31.2
1723492910852,31.1
1723492912148,31.1
1723492913317,31.0
1723492914711,31.0
1723492916031,30.9
1723492917660,30.7
1723492918936,30.7
1723492920035,30.6
1723492921301,30.6
1723492922712,30.6
1723492924051,30.6
1723492925752,30.5
1723492927404,30.5
1723492928665,30.4
1723492929947,30.4
1723492931874,30.4
1723492933744,30.2
1723492935099,30.1
1723492936309,30.2
1723492937737,30.1
